Ranking,Country,Regional indicator,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year,Country_Standardized,Region_Standardized
23,Mexico,Latin America and Caribbean,6.5945,6.35232,0.81488,74,0.68613,0.12998,0.16061,2019,Mexico,Central America
24,France,Western Europe,6.5921,7.86139,0.90663,77,0.68998,0.19634,0.40467,2019,France,Western Europe
25,Taiwan,East Asia,6.4462,8.12358,0.88099,75,0.55534,0.42716,0.21383,2019,Taiwan,Eastern Asia
26,Chile,Latin America and Caribbean,6.444,6.88166,0.84301,75,0.56489,0.32981,0.12394,2019,Chile,South America
27,Guatemala,Latin America and Caribbean,6.4362,4.75186,0.78187,71,0.84722,0.30948,0.17194,2019,Guatemala,Central America
28,Saudi Arabia,Middle East and North Africa,6.3747,8.33026,0.83549,72,0.69496,0.14206,0.29172,2019,Saudi Arabia,Western Asia
29,Qatar,Middle East and North Africa,6.3745,10.0,0.80871,74,0.8797,0.38824,0.36785,2019,Qatar,Western Asia
30,Spain,Western Europe,6.3541,7.63488,0.91426,77,0.57362,0.27022,0.17355,2019,Spain,Southern Europe
31,Panama,Latin America and Caribbean,6.3213,6.82503,0.88785,75,0.8169,0.19227,0.11992,2019,Panama,Central America
32,Brazil,Latin America and Caribbean,6.2998,5.96248,0.88621,72,0.61761,0.17536,0.18922,2019,Brazil,South America
33,Uruguay,Latin America and Caribbean,6.2933,6.6764,0.90209,74,0.82773,0.22358,0.33236,2019,Uruguay,South America
34,Singapore,Southeast Asia,6.262,9.33188,0.90119,79,0.88089,0.47822,1.0,2019,Singapore,South-eastern Asia
35,El Salvador,Latin America and Caribbean,6.2531,4.71618,0.7647,72,0.68144,0.16451,0.1643,2019,El Salvador,Central America
36,Italy,Western Europe,6.2234,7.68618,0.91647,77,0.3656,0.27917,0.06596,2019,Italy,Southern Europe
37,Bahrain,Middle East and North Africa,6.1994,8.08631,0.84227,74,0.84863,0.45063,0.24331,2019,Bahrain,Western Asia
38,Slovakia,Central and Eastern Europe,6.1976,7.4,0.92652,74,0.5294,0.21371,0.03102,2019,Slovakia,Eastern Europe
39,Trinidad and Tobago,Latin America and Caribbean,6.1919,7.30693,0.90947,71,0.77533,0.32741,0.03457,2019,Trinidad and Tobago,Caribbean
40,Poland,Central and Eastern Europe,6.1817,7.16074,0.88595,74,0.76476,0.20633,0.11154,2019,Poland,Eastern Europe
41,Uzbekistan,Commonwealth of Independent States,6.1741,4.42445,0.94177,72,1.0,0.56928,0.52985,2019,Uzbekistan,Central Asia
42,Lithuania,Western Europe,6.149,7.35239,0.93325,73,0.46163,0.07536,0.09236,2019,Lithuania,Northern Europe
43,Colombia,Latin America and Caribbean,6.1248,5.85077,0.86822,73,0.744,0.17434,0.07539,2019,Colombia,South America
